city,cases_per100K_7dayMA,deaths_per100K_7dayMA,cases_2week_relChange,cases_4week_relChange,deaths_2week_relChange,deaths_4week_relChange,date_of_access
"Austin, TX",9.25502113496761,10.2960680117069,0.242703533026114,0.2660406885759,0,,2021-04-20
"Baltimore, MD",39.7395117683253,45.0507591645692,0.0554156171284634,0.635121951219512,1.375,,2021-04-20
"Boston, MA",25.0231650091917,10.6180332429385,-0.277096114519427,0.0420044215180546,-0.6,,2021-04-20
"Charlotte, NC",24.1076921690615,6.52971077168514,0.120145631067961,0.327102803738318,0.25,,2021-04-20
"Cleveland, OH",22.8436916094742,0,0.0540540540540543,0.446545454545455,-1,,2021-04-20
"Columbus, OH",18.6980080897504,0,-0.0540540540540541,0.347211311861744,-1,,2021-04-20
"Dallas, TX",8.71406409868415,14.0811477045238,0.281050955414013,-0.0935211267605635,-0.458333333333333,,2021-04-20
"Denver, CO",33.157582858068,7.97536569045532,0.28218966846569,1.11040609137056,0,,2021-04-20
"Detroit, MI",78.8042860734867,70.0482542875437,0.105461608775137,1.5554675118859,0.72,,2021-04-20
"Fort Worth, TX",10.3600550809595,12.3333989059042,0.837181044957473,-0.0555902560899439,-0.513513513513514,,2021-04-20
"Houston, TX",10.0181411966854,30.4040703996521,-0.149677419354839,-0.333805095026284,-0.173553719008264,,2021-04-20
"Indianapolis, IN",16.6100776783002,22.4460509166219,0.307420494699647,0.781701444622793,1.5,,2021-04-20
"Kansas City, MO",-15.1974164799968,6.11976502550208,-4.10416666666667,-3.87644787644788,0,,2021-04-20
"Las Vegas (Metro), NV",13.199732241319,22.4049771312398,0.31841432225064,0.48132183908046,0,,2021-04-20
"Long Beach, CA",4.39505285273706,21.2048223837427,-0.189520333680917,-0.240039110241995,-0.242424242424243,,2021-04-20
"Los Angeles, CA",4.39505285273706,21.2048223837427,-0.189520333680917,-0.240039110241995,-0.242424242424243,,2021-04-20
"Miami, FL",54.596055147913,35.1765373323676,0.224077940153097,0.400663570006636,-0.333333333333333,,2021-04-20
"Minneapolis, MN",30.9097236432503,12.4773196358075,0.102792391744233,0.541289592760181,0.375,,2021-04-20
"New York City, NY",44.9760913344295,77.9027676846257,-0.225528674360026,0.501021798365123,-0.139097744360902,,2021-04-20
"Oakland, CA",6.21396383095927,26.5700522427224,0.0240112994350284,0.285460992907801,0.148148148148148,,2021-04-20
"Philadelphia, PA",39.2281841246515,42.3844748013476,0.243567753001715,0.537102473498233,0.382352941176471,,2021-04-20
"Phoenix, AZ",9.0200185465832,12.6312647510501,0.231211317418214,2.84668508287293,0.625,,2021-04-20
"Portland, OR",14.5165717664116,5.27875336960423,0.5,2.11320754716981,Inf,,2021-04-20
"San Antonio, TX",20.7231255911324,17.2632771324949,0.0706057227796356,0.517913593256059,-0.529411764705882,,2021-04-20
"San Diego, CA",7.18694447525649,22.6461389529485,-0.107218683651805,-0.258377425044092,0.472222222222222,,2021-04-20
"San Francisco, CA",4.17264057795924,37.1979586407219,0.0794979079497907,0.121739130434783,0.533333333333333,,2021-04-20
"San Jose, CA",6.35553074948813,13.2714099177246,0.115135834411384,0.0177095631641087,-0.25,,2021-04-20
"Seattle, WA",15.704822519193,9.595614573845,0.0442364951084649,0.657663740715733,0.25,,2021-04-20
"Washington, DC",17.021934297774,24.4042068785291,-0.03125,0.101315789473684,-0.076923076923077,,2021-04-20
"Chicago, IL",17.0509024799098,11.072014597344,-0.278125,0.155,-0.25,,2021-04-20
